t,K_B,K_B_prony,K_C,K_C_prony
0.1784461153,7.644249097e-05,1.584908266e-05,-0.001237718027,-0.001155520491
0.1794486216,7.472049379e-05,1.486128425e-05,-0.001198250476,-0.001116634651
0.1804511278,7.142744764e-05,1.393513813e-05,-0.001158987962,-0.001079072208
0.1814536341,6.718388503e-05,1.306678873e-05,-0.00112030161,-0.001042787209
0.1824561404,6.395511383e-05,1.225262221e-05,-0.001083467004,-0.001007735357
0.1834586466,6.25356512e-05,1.148925134e-05,-0.001048979326,-0.0009738739396
0.1844611529,6.154757686e-05,1.077350118e-05,-0.001015879487,-0.0009411617759
0.1854636591,5.920735012e-05,1.010239574e-05,-0.000982935275,-0.0009095591546
0.1864661654,5.558854141e-05,9.473145489e-06,-0.0009501581693,-0.0008790277801
0.1874686717,5.25031829e-05,8.8831356e-06,-0.0009187269425,-0.0008495307192
0.1884711779,5.117796851e-05,8.329914996e-06,-0.0008894321175,-0.0008210323501
0.1894736842,5.069855872e-05,7.811186052e-06,-0.0008616315422,-0.0007934983137
0.1904761905,4.918843724e-05,7.32479496e-06,-0.0008340372595,-0.0007668954666
0.1914786967,4.619698291e-05,6.868722697e-06,-0.000806315417,-0.0007411918358
0.192481203,4.325245924e-05,6.441076567e-06,-0.0007794595863,-0.0007163565756
0.1934837093,4.189719415e-05,6.040082271e-06,-0.0007544764121,-0.0006923599264
0.1944862155,4.172552783e-05,5.664076482e-06,-0.0007310697033,-0.000669173174
0.1954887218,4.091537861e-05,5.311499883e-06,-0.0007079935142,-0.0006467686121
0.1964912281,3.855286124e-05,4.980890645e-06,-0.0006846087117,-0.0006251195049
0.1974937343,3.578010623e-05,4.67087832e-06,-0.0006616543423,-0.0006042000518
0.1984962406,3.432102446e-05,4.380178107e-06,-0.0006402624509,-0.0005839853538
0.1994987469,3.428343759e-05,4.107585492e-06,-0.0006204850077,-0.00056445138
0.2005012531,3.403558635e-05,3.851971217e-06,-0.0006012082361,-0.000545574937
0.2015037594,3.229295217e-05,3.612276564e-06,-0.000581549136,-0.0005273336378
0.2025062657,2.974338058e-05,3.387508943e-06,-0.0005619459997,-0.0005097058736
0.2035087719,2.815153956e-05,3.176737748e-06,-0.0005435612086,-0.0004926707852
0.2045112782,2.810486428e-05,2.979090481e-06,-0.0005267713451,-0.0004762082361
0.2055137845,2.827681519e-05,2.793749114e-06,-0.0005106709938,-0.0004602987873
0.2065162907,2.712815386e-05,2.619946681e-06,-0.0004942103879,-0.0004449236713
0.207518797,2.486182465e-05,2.456964088e-06,-0.0004775061153,-0.0004300647691
